(theta,phi,r)
(11.0,107.796875,2.3266)
(11.0,107.921875,2.2175000000000002)
(11.0,108.046875,2.117)
(11.0,108.671875,2.276)
(11.0,110.671875,0.959)
(11.0,153.359375,2.3991333333333333)
(11.0,153.484375,2.2712)
(11.0,155.484375,0.953)
(11.0,186.203125,3.067857142857143)
(11.0,186.328125,2.6935714285714285)
(11.0,186.453125,2.421)
(11.0,186.578125,2.265333333333334)
(11.0,231.25,7.551)
(11.0,231.375,7.134354838709678)
(11.0,310.6875,2.7168749999999995)
(11.0,355.890625,3.291)
(11.0,356.015625,3.1381666666666668)
(11.0,356.140625,2.7022727272727276)
(11.0,356.265625,2.493)
(12.0,29.65625,2.1292222222222223)
(12.0,29.78125,2.0769999999999995)
(12.0,74.46875,2.625666666666667)
(12.0,74.59375,2.593)
(12.0,74.96875,1.9035714285714285)
(12.0,75.09375,1.6910000000000003)
(12.0,75.21875,1.6179999999999999)
(12.0,75.46875,2.201)
(12.0,108.265625,2.3409999999999997)
(12.0,108.390625,2.206454545454545)
(12.0,109.140625,2.423)
(12.0,110.140625,0.943)
(12.0,110.390625,0.933)
(12.0,153.421875,2.374473684210526)
(12.0,153.546875,2.2215)
(12.0,153.671875,2.165)
(12.0,154.296875,2.213)
(12.0,186.828125,2.9255)
(12.0,186.953125,2.6846666666666663)
(12.0,187.078125,2.502)
(12.0,187.203125,2.3715)
(12.0,231.578125,7.099153846153844)
(12.0,310.921875,2.7165624999999993)
(12.0,355.84375,3.305)
(12.0,355.96875,3.117933333333333)
(12.0,356.09375,2.6809999999999996)
(12.0,356.21875,2.500111111111111)
(13.0,30.328125,2.1376)
(13.0,30.453125,2.0807272727272728)
(13.0,74.65625,2.631)
(13.0,74.78125,2.601)
(13.0,75.03125,2.0158)
(13.0,75.15625,1.756)
(13.0,75.28125,1.689)
(13.0,75.40625,1.6287142857142858)
(13.0,75.53125,1.615)
(13.0,75.65625,2.195)
(13.0,109.0,2.3085)
(13.0,109.125,2.2301111111111114)
(13.0,109.25,2.163)
(13.0,109.875,2.2310000000000003)
(13.0,111.875,0.947)
(13.0,153.703125,2.383125)
(13.0,153.828125,2.2617272727272724)
(13.0,153.953125,2.149)
(13.0,154.578125,2.177)
(13.0,187.5,3.163)
(13.0,187.625,3.0226666666666664)
(13.0,187.75,2.7045)
(13.0,187.875,2.4610000000000003)
(13.0,188.0,2.2447142857142857)
(13.0,232.0,7.094000000000002)
(13.0,311.515625,2.7168125)
(13.0,355.921875,3.303)
(13.0,356.046875,3.1422307692307694)
(13.0,356.171875,2.7076)
(13.0,356.296875,2.4855)
(14.0,29.484375,2.1127142857142855)
(14.0,29.609375,2.0506800000000003)
(14.0,74.28125,2.625)
(14.0,74.78125,1.769)
(14.0,74.90625,1.6743333333333332)
(14.0,75.03125,1.6039999999999999)
(14.0,75.15625,1.562)
(14.0,75.28125,1.9902000000000002)
(14.0,107.984375,2.2960000000000003)
(14.0,108.109375,2.356)
(14.0,108.234375,2.2182727272727267)
(14.0,108.984375,2.282)
(14.0,110.234375,0.935)
(14.0,110.984375,0.941)
(14.0,153.1875,2.3745294117647053)
(14.0,153.3125,2.2365)
(14.0,153.4375,2.175)
(14.0,154.0625,1.9883333333333333)
(14.0,186.734375,2.9915)
(14.0,186.859375,2.7723333333333327)
(14.0,186.984375,2.3562)
(14.0,187.109375,2.227444444444445)
(14.0,231.359375,6.996384615384617)
(14.0,310.765625,2.716312500000001)
(14.0,355.671875,3.249)
(14.0,355.796875,3.146090909090909)
(14.0,355.921875,2.7390000000000003)
(14.0,356.046875,2.4354444444444447)
(15.0,29.78125,2.0829999999999997)
(15.0,29.90625,2.063222222222222)
(15.0,74.859375,1.619)
(15.0,74.984375,1.6022727272727273)
(15.0,75.109375,1.5939999999999999)
(15.0,75.234375,1.5283333333333335)
(15.0,108.40625,2.2863333333333333)
(15.0,108.53125,2.1885)
(15.0,108.65625,2.143)
(15.0,109.28125,2.2535)
(15.0,111.28125,0.951)
(15.0,153.25,2.396375)
(15.0,153.375,2.1794444444444445)
(15.0,153.5,2.1559999999999997)
(15.0,153.875,2.177)
(15.0,154.125,1.892)
(15.0,186.90625,3.3783333333333334)
(15.0,187.03125,3.0611818181818182)
(15.0,187.15625,2.788)
(15.0,187.28125,2.4290000000000003)
(15.0,187.40625,2.294333333333333)
(15.0,231.484375,6.904923076923078)
(15.0,311.015625,2.7167500000000007)
(15.0,355.5,3.251)
(15.0,355.625,3.1280909090909095)
(15.0,355.75,2.7002)
(15.0,355.875,2.42825)
(15.0,356.0,2.348)
(16.0,29.578125,2.0755)
(16.0,29.703125,2.0534)
(16.0,74.765625,1.633)
(16.0,74.890625,1.5926)
(16.0,75.015625,1.5698)
(16.0,75.140625,1.5894000000000001)
(16.0,108.203125,2.3209999999999997)
(16.0,108.328125,2.1961999999999997)
(16.0,109.078125,2.1710000000000003)
(16.0,111.078125,0.943)
(16.0,153.109375,2.4134285714285713)
(16.0,153.234375,2.255363636363636)
(16.0,153.359375,2.167666666666667)
(16.0,153.984375,1.897)
(16.0,186.6875,3.4486000000000003)
(16.0,186.8125,2.975363636363636)
(16.0,186.9375,2.929)
(16.0,187.0625,2.364)
(16.0,187.1875,2.2893636363636363)
(16.0,231.3125,6.8894166666666665)
(16.0,232.9375,6.703)
(16.0,310.8125,2.716937500000001)
(16.0,355.421875,3.201)
(16.0,355.546875,3.1048181818181817)
(16.0,355.671875,2.74375)
(16.0,355.796875,2.430090909090909)
(16.0,355.921875,2.333)
(17.0,29.703125,2.0549999999999997)
(17.0,29.828125,2.0372)
(17.0,29.953125,2.0)
(17.0,30.328125,1.4713333333333336)
(17.0,30.453125,1.475)
(17.0,75.015625,1.669)
(17.0,75.140625,1.5843333333333334)
(17.0,75.265625,1.5466666666666666)
(17.0,75.390625,1.489)
(17.0,108.28125,2.3083333333333336)
(17.0,108.40625,2.1584)
(17.0,108.53125,2.067)
(17.0,108.65625,2.007)
(17.0,109.15625,2.165)
(17.0,110.28125,0.945)
(17.0,110.40625,0.933)
(17.0,153.34375,2.432444444444444)
(17.0,153.46875,2.1394444444444445)
(17.0,153.96875,2.177)
(17.0,154.21875,1.904)
(17.0,186.640625,3.4296666666666664)
(17.0,186.765625,2.9458)
(17.0,186.890625,2.669)
(17.0,187.015625,2.283)
(17.0,187.140625,2.304)
(17.0,187.265625,2.201)
(17.0,231.484375,6.809846153846153)
(17.0,310.90625,2.7158750000000014)
(17.0,355.6875,3.259)
(17.0,355.8125,3.1020000000000003)
(17.0,355.9375,2.70475)
(17.0,356.0625,2.4494000000000002)
(17.0,356.1875,2.299)
(18.0,29.515625,2.0179230769230774)
(18.0,29.640625,1.959)
(18.0,75.0625,1.6783333333333335)
(18.0,75.1875,1.5642)
(18.0,75.3125,1.58)
(18.0,75.4375,1.6403333333333334)
(18.0,108.03125,2.20225)
(18.0,108.15625,2.141)
(18.0,108.78125,2.5396666666666667)
(18.0,110.78125,0.951)
(18.0,153.171875,2.573)
(18.0,153.296875,2.4320000000000004)
(18.0,153.421875,2.221363636363636)
(18.0,153.546875,2.1639999999999997)
(18.0,154.171875,2.201)
(18.0,186.234375,3.4355)
(18.0,186.359375,3.0170000000000003)
(18.0,186.484375,2.7560000000000002)
(18.0,186.609375,2.345)
(18.0,186.734375,2.2751428571428574)
(18.0,231.359375,6.775833333333334)
(18.0,232.984375,6.549)
(18.0,310.703125,2.7166875000000004)
(18.0,355.984375,3.0984000000000003)
(18.0,356.109375,2.7390000000000003)
(18.0,356.234375,2.4090000000000003)
(18.0,356.359375,2.2903333333333333)
(19.0,30.0,2.000777777777778)
(19.0,30.125,1.9723333333333333)
(19.0,30.625,1.937)
(19.0,75.265625,1.567)
(19.0,75.390625,1.5705)
(19.0,75.515625,1.531)
(19.0,75.640625,1.8050000000000002)
(19.0,108.53125,2.391)
(19.0,108.65625,2.194090909090909)
(19.0,109.40625,2.293)
(19.0,111.40625,0.949)
(19.0,153.46875,2.574)
(19.0,153.59375,2.4286000000000003)
(19.0,153.71875,2.2440588235294117)
(19.0,153.84375,2.157)
(19.0,186.9375,3.364333333333333)
(19.0,187.0625,3.0816666666666666)
(19.0,187.1875,2.975)
(19.0,187.3125,2.414)
(19.0,187.4375,2.175363636363636)
(19.0,187.5625,2.143)
(19.0,231.75,6.702)
(19.0,311.15625,2.716312500000001)
(19.0,356.0,3.181)
(19.0,356.125,3.07725)
(19.0,356.25,2.700999999999999)
(19.0,356.375,2.4024545454545456)
(19.0,356.5,2.2343333333333333)
(20.0,29.828125,1.9919999999999998)
(20.0,29.953125,1.947)
(20.0,30.453125,1.935)
(20.0,75.109375,1.5745)
(20.0,75.234375,1.5343333333333333)
(20.0,75.359375,1.6735)
(20.0,108.3125,2.3812857142857142)
(20.0,108.4375,2.175)
(20.0,108.5625,2.166)
(20.0,109.1875,2.388)
(20.0,111.1875,0.944)
(20.0,153.234375,2.5796666666666668)
(20.0,153.359375,2.396066666666667)
(20.0,153.484375,2.2331818181818184)
(20.0,153.609375,2.1656666666666666)
(20.0,186.765625,3.341333333333333)
(20.0,186.890625,3.073)
(20.0,187.015625,2.979)
(20.0,187.140625,2.4396666666666667)
(20.0,187.265625,2.1830000000000003)
(20.0,187.390625,2.139666666666667)
(20.0,231.578125,6.667923076923076)
(20.0,311.0,2.7165624999999998)
(20.0,355.8125,3.12925)
(20.0,355.9375,2.7447777777777778)
(20.0,356.0625,2.4164000000000003)
(20.0,356.1875,2.2554)
(21.0,29.4375,1.9800000000000002)
(21.0,29.5625,1.9563333333333333)
(21.0,30.0625,1.913)
(21.0,74.75,1.661)
(21.0,74.875,1.5598571428571428)
(21.0,75.0,1.5261999999999998)
(21.0,75.125,1.509)
(21.0,107.890625,2.387)
(21.0,108.015625,2.1830000000000003)
(21.0,108.140625,2.211)
(21.0,108.765625,2.195)
(21.0,110.765625,0.935)
(21.0,152.984375,2.5789999999999997)
(21.0,153.109375,2.437)
(21.0,153.234375,2.224125)
(21.0,153.359375,2.171)
(21.0,186.359375,3.3360000000000003)
(21.0,186.484375,3.1183333333333336)
(21.0,186.609375,2.8476666666666666)
(21.0,186.734375,2.368333333333333)
(21.0,186.859375,2.18325)
(21.0,186.984375,2.1334)
(21.0,231.234375,6.629583333333334)
(21.0,232.859375,6.315)
(21.0,310.625,2.7157500000000003)
(21.0,355.640625,3.12075)
(21.0,355.765625,2.73225)
(21.0,355.890625,2.4547777777777777)
(21.0,356.015625,2.2555714285714283)
(22.0,30.15625,1.943)
(22.0,30.28125,1.9237499999999998)
(22.0,30.78125,1.891)
(22.0,75.21875,1.511)
(22.0,75.34375,1.5458)
(22.0,75.46875,1.5074999999999998)
(22.0,108.734375,2.428)
(22.0,108.859375,2.1824999999999997)
(22.0,109.609375,2.342333333333333)
(22.0,111.609375,0.951)
(22.0,153.34375,2.565)
(22.0,153.46875,2.4152857142857145)
(22.0,153.59375,2.2238571428571428)
(22.0,153.71875,2.171)
(22.0,187.296875,3.3335)
(22.0,187.421875,3.0332)
(22.0,187.546875,2.793)
(22.0,187.671875,2.529)
(22.0,187.796875,2.1721999999999992)
(22.0,187.921875,2.3699999999999997)
(22.0,231.703125,6.537076923076922)
(22.0,311.21875,2.7169375)
(22.0,355.75,3.243)
(22.0,355.875,3.0387142857142857)
(22.0,356.0,2.7352857142857148)
(22.0,356.125,2.4276666666666666)
(22.0,356.25,2.2350000000000003)
(23.0,29.546875,1.936)
(23.0,29.671875,1.895)
(23.0,30.171875,1.869)
(23.0,74.796875,1.624)
(23.0,74.921875,1.5455)
(23.0,75.046875,1.502)
(23.0,108.125,2.167666666666667)
(23.0,108.25,2.155)
(23.0,108.875,2.319)
(23.0,110.875,0.949)
(23.0,153.125,2.4399333333333333)
(23.0,153.25,2.2315882352941174)
(23.0,186.46875,3.2955)
(23.0,186.59375,2.9818000000000007)
(23.0,186.71875,2.67)
(23.0,186.84375,2.363)
(23.0,186.96875,2.2375)
(23.0,187.09375,2.1314)
(23.0,231.28125,6.5114166666666655)
(23.0,232.90625,6.225)
(23.0,310.703125,2.716874999999999)
(23.0,355.546875,3.044777777777777)
(23.0,355.671875,2.680428571428571)
(23.0,355.796875,2.4442)
(23.0,355.921875,2.2640000000000002)
(23.0,356.046875,2.137)
(24.0,75.234375,1.605)
(24.0,75.359375,1.5939999999999999)
(24.0,75.484375,1.5036666666666667)
(24.0,75.609375,1.5216666666666665)
(24.0,134.4375,2.137235294117647)
(24.0,134.5625,2.132111111111111)
(24.0,134.6875,1.884)
(24.0,153.328125,2.5556666666666668)
(24.0,153.453125,2.4134285714285713)
(24.0,153.578125,2.2215714285714285)
(24.0,153.703125,2.157)
(24.0,238.78125,6.453074074074075)
(24.0,238.90625,5.4638)
(24.0,257.78125,6.0118)
(24.0,257.90625,5.076333333333334)
(24.0,258.03125,4.162599999999999)
(24.0,258.15625,3.6302499999999998)
(24.0,337.140625,3.020368421052632)
(24.0,337.265625,2.847727272727273)
(24.0,338.265625,3.011)
(24.0,356.109375,3.032)
(24.0,356.234375,2.6398571428571427)
(24.0,356.359375,2.4364999999999997)
(24.0,356.484375,2.2078571428571427)
(24.0,356.609375,2.1399999999999997)
(25.0,30.21875,1.9137999999999997)
(25.0,30.34375,1.8695714285714282)
(25.0,75.140625,1.5185)
(25.0,75.265625,1.4989999999999999)
(25.0,75.390625,1.5256666666666667)
(25.0,108.9375,2.191)
(25.0,109.0625,2.1465)
(25.0,109.6875,2.4050000000000002)
(25.0,111.6875,0.969)
(25.0,153.3125,2.5700000000000003)
(25.0,153.4375,2.451833333333333)
(25.0,153.5625,2.241875)
(25.0,153.6875,2.1609999999999996)
(25.0,187.3125,3.2889999999999997)
(25.0,187.4375,3.1390000000000007)
(25.0,187.5625,2.601)
(25.0,187.6875,2.56)
(25.0,187.8125,2.1728)
(25.0,187.9375,2.0978000000000003)
(25.0,231.671875,6.427307692307692)
(25.0,311.21875,2.7175000000000002)
(25.0,355.75,3.087666666666667)
(25.0,355.875,2.73875)
(25.0,356.0,2.4185555555555553)
(25.0,356.125,2.1903333333333332)
(26.0,29.671875,1.923)
(26.0,29.796875,1.8748181818181822)
(26.0,30.296875,1.843)
(26.0,75.296875,1.52)
(26.0,75.421875,1.49625)
(26.0,75.546875,1.5005000000000002)
(26.0,108.078125,2.4029999999999996)
(26.0,108.203125,2.1405555555555558)
(26.0,108.328125,2.2016666666666667)
(26.0,108.453125,1.703)
(26.0,108.703125,1.727)
(26.0,108.953125,2.314)
(26.0,153.328125,2.564)
(26.0,153.453125,2.4098333333333337)
(26.0,153.578125,2.2288666666666668)
(26.0,153.703125,2.163)
(26.0,186.40625,3.257)
(26.0,186.53125,3.0466363636363636)
(26.0,186.65625,2.8064999999999998)
(26.0,186.78125,2.385666666666667)
(26.0,186.90625,2.2523333333333335)
(26.0,187.03125,2.1081428571428575)
(26.0,231.546875,6.416416666666667)
(26.0,233.171875,6.171)
(26.0,310.890625,2.71675)
(26.0,356.09375,3.0713999999999997)
(26.0,356.21875,2.7198888888888892)
(26.0,356.34375,2.4092857142857143)
(26.0,356.46875,2.221222222222222)
(26.0,356.59375,2.1180000000000003)
(27.0,29.25,1.8752)
(27.0,29.375,1.847)
(27.0,29.75,1.821)
(27.0,74.890625,1.5516666666666667)
(27.0,75.015625,1.4721428571428574)
(27.0,75.140625,1.5066)
(27.0,107.65625,2.1786000000000003)
(27.0,107.78125,2.126)
(27.0,108.03125,1.7320000000000002)
(27.0,108.40625,2.1670000000000003)
(27.0,152.890625,2.5465)
(27.0,153.015625,2.395)
(27.0,153.140625,2.212866666666667)
(27.0,185.90625,3.237)
(27.0,186.03125,3.000272727272727)
(27.0,186.15625,2.75)
(27.0,186.28125,2.457)
(27.0,186.40625,2.1536666666666666)
(27.0,186.53125,2.2198571428571428)
(27.0,187.15625,2.079)
(27.0,231.0625,6.370916666666669)
(27.0,232.6875,6.091)
(27.0,310.34375,2.7162499999999996)
(27.0,355.765625,3.06)
(27.0,355.890625,2.709)
(27.0,356.015625,2.4096)
