(0.0,0.0,2.5062307692307693)
(0.0,20.0,2.4125833333333335)
(0.0,40.0,2.1588601398601406)
(0.0,60.0,2.3752626262626273)
(0.0,80.0,2.814089005235601)
(0.0,100.0,3.2931893491124247)
(0.0,120.0,3.5988978102189773)
(0.0,140.0,3.304081081081081)
(0.0,160.0,3.59104761904762)
(0.0,180.0,3.5659523809523814)
(0.0,200.0,4.55005128205128)
(0.0,220.0,4.045333333333331)
(0.0,240.0,3.529659340659341)
(0.0,260.0,3.0786956521739133)
(0.0,280.0,3.1802926829268308)
(0.0,300.0,3.456333333333333)
(0.0,320.0,3.4303437499999996)
(0.0,340.0,2.6656129032258056)
(0.0,360.0,2.6625111111111113)
(20.0,0.0,2.5674935064935056)
(20.0,20.0,2.147766871165645)
(20.0,40.0,2.315939068100358)
(20.0,60.0,2.5053389830508475)
(20.0,80.0,2.9896983050847474)
(20.0,100.0,3.299971098265898)
(20.0,120.0,3.4665312499999996)
(20.0,140.0,3.2014339622641486)
(20.0,160.0,3.397723880597015)
(20.0,180.0,3.5341875000000007)
(20.0,200.0,4.223027397260274)
(20.0,220.0,3.1292013422818763)
(20.0,240.0,2.9295853658536584)
(20.0,260.0,2.8829523809523807)
(20.0,280.0,2.9446923076923093)
(20.0,300.0,2.7869408284023685)
(20.0,320.0,2.681567796610168)
(20.0,340.0,2.8017924528301883)
(20.0,360.0,2.9259677419354846)
(40.0,0.0,2.1590000000000003)
(40.0,20.0,2.00494)
(40.0,40.0,2.314291228070175)
(40.0,60.0,2.7187178423236498)
(40.0,80.0,3.410758793969848)
(40.0,100.0,3.0064302670623144)
(40.0,120.0,3.4522678571428562)
(40.0,140.0,3.1277876712328765)
(40.0,160.0,3.2791538461538456)
(40.0,180.0,3.2673268482490267)
(40.0,200.0,3.6510457142857122)
(40.0,220.0,3.341694444444446)
(40.0,240.0,3.216747252747252)
(40.0,260.0,2.873736842105263)
(40.0,280.0,2.577073770491803)
(40.0,300.0,2.523599078341013)
(40.0,320.0,2.5998608695652177)
(40.0,340.0,2.4693978494623647)
(40.0,360.0,2.50165306122449)
(60.0,0.0,2.42921186440678)
(60.0,20.0,2.170202216066481)
(60.0,40.0,2.5698078431372555)
(60.0,60.0,2.871495327102804)
(60.0,80.0,3.213521186440679)
(60.0,100.0,3.263255244755244)
(60.0,120.0,3.323270588235293)
(60.0,140.0,3.1513260869565207)
(60.0,160.0,3.2819257641921364)
(60.0,180.0,3.51063981042654)
(60.0,200.0,3.7945287356321824)
(60.0,220.0,3.592132352941176)
(60.0,240.0,3.2657382198952885)
(60.0,260.0,2.6378484848484853)
(60.0,280.0,2.6738548387096768)
(60.0,300.0,2.7130000000000005)
(60.0,320.0,2.7359843750000015)
(60.0,340.0,2.80853431372549)
(60.0,360.0,2.6572096774193534)
(80.0,0.0,2.7740285714285715)
(80.0,20.0,2.508245508982036)
(80.0,40.0,2.740566343042071)
(80.0,60.0,2.8492545454545466)
(80.0,80.0,2.8586679841897267)
(80.0,100.0,2.6908589743589757)
(80.0,120.0,2.974152542372883)
(80.0,140.0,2.9310436363636345)
(80.0,160.0,3.3124703196347034)
(80.0,180.0,3.2772009132420075)
(80.0,200.0,2.972038461538461)
(80.0,220.0,2.7657519379844975)
(80.0,240.0,2.770497907949793)
(80.0,260.0,2.9185731707317077)
(80.0,280.0,2.955008733624453)
(80.0,300.0,2.924974468085104)
(80.0,320.0,2.995026666666667)
(80.0,340.0,3.226452229299362)
(80.0,360.0,3.014979591836735)
(100.0,0.0,3.7000973451327446)
(100.0,20.0,3.254773049645389)
(100.0,40.0,2.7892120343839526)
(100.0,60.0,2.695086614173229)
(100.0,80.0,2.7154102564102565)
(100.0,100.0,2.853620895522387)
(100.0,120.0,2.987698412698413)
(100.0,140.0,3.163740506329112)
(100.0,160.0,3.629951965065502)
(100.0,180.0,3.6572039215686276)
(100.0,200.0,3.6891546391752565)
(100.0,220.0,3.048344398340247)
(100.0,240.0,3.0486420233463036)
(100.0,260.0,3.1795529411764707)
(100.0,280.0,3.242312820512822)
(100.0,300.0,3.1217209302325557)
(100.0,320.0,3.2630093896713612)
(100.0,340.0,3.669017467248907)
(100.0,360.0,3.681672268907563)
(120.0,0.0,5.0175241379310345)
(120.0,20.0,4.320247252747248)
(120.0,40.0,3.0412706270627035)
(120.0,60.0,3.253301538461537)
(120.0,80.0,3.340664835164836)
(120.0,100.0,3.347857142857142)
(120.0,120.0,3.5115454545454514)
(120.0,140.0,3.3171547987616115)
(120.0,160.0,3.448842975206612)
(120.0,180.0,3.3030138888888882)
(120.0,200.0,3.5055975609756076)
(120.0,220.0,3.609534653465343)
(120.0,240.0,3.5130571428571407)
(120.0,260.0,3.7699245283018876)
(120.0,280.0,3.999272727272729)
(120.0,300.0,4.173999999999998)
(120.0,320.0,4.239983606557376)
(120.0,340.0,5.113066390041496)
(120.0,360.0,4.717207407407408)
(140.0,0.0,5.6762584269662915)
(140.0,20.0,5.035770538243625)
(140.0,40.0,3.3648384401114204)
(140.0,60.0,3.4766288088642643)
(140.0,80.0,3.3826298200514144)
(140.0,100.0,3.4627255813953495)
(140.0,120.0,3.583275132275131)
(140.0,140.0,3.374431693989072)
(140.0,160.0,3.8464678111587993)
(140.0,180.0,3.755768060836504)
(140.0,200.0,3.7562355555555573)
(140.0,220.0,3.793934959349591)
(140.0,240.0,3.8391714285714293)
(140.0,260.0,4.0392666666666655)
(140.0,280.0,4.25338219895288)
(140.0,300.0,4.444536423841062)
(140.0,320.0,4.473087209302328)
(140.0,340.0,5.781785714285718)
(140.0,360.0,5.111253424657533)
(160.0,0.0,5.8621803278688525)
(160.0,20.0,5.638909356725147)
(160.0,40.0,3.697078880407124)
(160.0,60.0,3.8376916167664676)
(160.0,80.0,3.5600064516129066)
(160.0,100.0,3.598974999999999)
(160.0,120.0,3.486260736196317)
(160.0,140.0,3.1170419161676644)
(160.0,160.0,3.2040055865921793)
(160.0,180.0,4.425051546391755)
(160.0,200.0,3.6094166666666663)
(160.0,220.0,3.8346902654867265)
(160.0,240.0,4.301049382716049)
(160.0,260.0,4.229044692737431)
(160.0,280.0,4.2719450549450535)
(160.0,300.0,4.245244897959183)
(160.0,320.0,4.435977272727275)
(160.0,340.0,5.891025210084033)
(160.0,360.0,5.581142857142856)
(180.0,0.0,5.938695652173912)
(180.0,20.0,5.228203883495147)
(180.0,40.0,3.2599194312796187)
(180.0,60.0,2.9660641025641046)
(180.0,80.0,2.8118551724137917)
(180.0,100.0,2.6744716981132077)
(180.0,120.0,2.6255205479452055)
(180.0,140.0,2.613895705521472)
(180.0,160.0,2.5489365079365087)
(180.0,180.0,2.629809160305344)
(180.0,200.0,2.7038103448275876)
(180.0,220.0,3.2906834532374094)
(180.0,240.0,3.6582826086956497)
(180.0,260.0,4.008700000000002)
(180.0,280.0,3.395336842105263)
(180.0,300.0,3.0141000000000004)
(180.0,320.0,3.3443555555555564)
(180.0,340.0,6.222589041095895)
(180.0,360.0,5.672882352941175)
